"","Age","lower99CI","lower95CI","median","upper95CI","upper99CI","sigma","Gradient1"
"1",4.5,4.4214089705724,4.61908246433946,5.27564065814089,5.97247962198736,6.19944444270488,0.0653755242877238,2477.92542580246
"2",4.6,4.44217386053081,4.64077628003404,5.30041991239892,6.00053371806346,6.22856519456968,0.0653756914537095,2375.05412858358
"3",4.7,4.46207649373938,4.66156931919463,5.32417045368475,6.02742332139789,6.2564772304034,0.0653758660485547,2277.88482105309
"4",4.8,4.48116465533072,4.68151150390633,5.34694930189528,6.05321298526721,6.2832475571708,0.0653760482338071,2186.00638295473
"5",4.9,4.49948268490036,4.70064915667864,5.36880936572483,6.0779626087304,6.30893835075593,0.0653762381710186,2099.04386767295
"6",5,4.51707177967294,4.71902531716511,5.38979980440156,6.10172784614385,6.33360738103877,0.065376436021746,2016.65477454022
"7",5.1,4.53397026642708,4.73668002624504,5.40996635214696,6.12456047447577,6.35730839316779,0.0653766419475506,1938.52575833538
"8",5.2,4.550213845843,4.75365058129498,5.42935160973032,6.14650872336944,6.38009145016572,0.0653768561099989,1864.36971882744
"9",5.3,4.56583581245817,4.76997176597775,5.44799530691859,6.16761757225783,6.40200324133467,0.0653770786706624,1793.92322148073
"10",5.4,4.58086725300602,4.78567605744827,5.4659345391334,6.18792901827836,6.42308736035176,0.0653773097911182,1726.94420720807
"11",5.5,4.59533722556064,4.80079381350707,5.48320398120548,6.20748231826037,6.44338455645224,0.0653775496329489,1663.20995504924
"12",5.6,4.60927292160683,4.815353441916,5.49983608075597,6.2263142076484,6.46293296167191,0.0653777983577428,1602.51526655586
"13",5.7,4.6226998128938,4.82938155381716,5.51586123342153,6.24445909887118,6.48176829675425,0.0653780561270944,1544.67084488941
"14",5.8,4.63564178470431,4.84290310296003,5.53130794187042,6.26194926136072,6.49992405801033,0.0653783231026044,1489.501845294
"15",5.9,4.6481212569755,4.85594151223725,5.54620296032336,6.27881498516171,6.51743168714535,0.06537859944588,1436.84657666068
"16",6,4.66015929453777,4.8685187888518,5.56057142608997,6.29508472984135,6.53432072582724,0.0653788853185352,1386.55533653364
"17",6.1,4.67177570758996,4.8806556292841,5.57443697945531,6.31078526021067,6.55061895656535,0.0653791808821906,1338.48936421018
"18",6.2,4.68298914340063,4.89237151509292,5.58782187309741,6.32594177019408,6.56635253128714,0.0653794862984745,1292.51989850884
"19",6.3,4.69381717011261,4.90368480046654,5.6007470720825,6.34057799603197,6.58154608884251,0.0653798017290222,1248.52732846128
"20",6.4,4.70427635342968,4.91461279233782,5.61323234536711,6.35471631986863,6.59622286252814,0.0653801273354769,1206.40042667037
"21",6.5,4.71438232687803,4.92517182378678,5.62529634963381,6.36837786466105,6.6104047786028,0.0653804632794895,1166.0356562856
"22",6.6,4.72414985625968,4.93537732137551,5.63695670619667,6.3815825812421,6.62411254665907,0.0653808097227193,1127.33654366093
"23",6.7,4.73359289884816,4.94524386699028,5.64823007163328,6.3943493282818,6.63736574262307,0.065381166826834,1090.21310971366
"24",6.8,4.74272465781856,4.95478525470495,5.65913220273042,6.40669594581098,6.65018288507213,0.0653815347535097,1054.58135380664
"25",6.9,4.75155763235197,4.96401454312544,5.66967801626848,6.4186393229022,6.66258150548758,0.065381913664432,1020.36278470077
"26",7,4.76010366380902,4.97294410362746,5.67988164411549,6.43019546004055,6.67457821299566,0.0653823037212953,987.48399374861
"27",7.1,4.7683739783263,4.98158566485733,5.68975648405298,6.44137952666275,6.68618875409317,0.0653827050858035,955.876266073392
"28",7.2,4.77637922615423,4.98995035382846,5.69931524671371,6.45220591429442,6.69742806780395,0.0653831179196705,925.475225891714
"29",7.3,4.78412951802234,4.99804873391242,5.70856999897263,6.46268828567214,6.70831033666761,0.0653835423846201,896.220512649816
"30",7.4,4.79163445879036,5.00589083999442,5.71753220409913,6.47283962019913,6.71884903392255,0.0653839786423866,868.055484912984
"31",7.5,4.7989031786176,5.01348621103621,5.72621275894826,6.48267225604868,6.72905696720933,0.0653844268547146,840.926949390123
"32",7.6,4.80594436186139,5.02084392026642,5.73462202844216,6.49219792919993,6.73894631908986,0.0653848871833601,814.784912630203
"33",7.7,4.81276627389442,5.02797260319682,5.74276987756846,6.50142780966269,6.74852868464872,0.06538535979009,789.582353289952
"34",7.8,4.81937678601359,5.03488048364479,5.75066570110136,6.51037253512407,6.75781510641844,0.0653858448366827,765.275013056453
"35",7.9,4.82578339859655,5.04157539792506,5.75831845123192,6.51904224222826,6.76681610684791,0.0653863424849287,741.821204467051
"36",8,4.83199326264766,5.04806481735894,5.76573666327659,6.52744659568067,6.77554171851247,0.0653868528966303,719.18163414688
"37",8.1,4.83801319986242,5.05435586923576,5.77292847961806,6.53559481535085,6.78400151224677,0.0653873762336026,697.319239982753
"38",8.2,4.84384972132743,5.06045535634884,5.77990167201789,6.54349570153232,6.79220462336449,0.0653879126576732,676.199041109794
"39",8.3,4.84950904496298,5.06636977521785,5.78666366242899,6.55115765850389,6.80015977611501,0.065388462330683,655.78799944793
"40",8.4,4.85499711180527,5.072105333099,5.79322154242347,6.55858871652363,6.80787530651312,0.0653890254144861,636.054891898821
"41",8.5,4.8603196012175,5.07766796387612,5.79958209134245,6.56579655237589,6.81535918366691,0.0653896020709505,616.970192188892
"42",8.6,4.8654819451107,5.0830633429173,5.80575179326434,6.57278850858079,6.82261902971714,0.0653901924619583,598.505961590054
"43",8.7,4.87048934124875,5.08829690097468,5.81173685288024,6.57957161136649,6.82966213849257,0.0653907967494059,580.635747761917
"44",8.8,4.87534676570553,5.09337383719852,5.81754321035786,6.5861525874963,6.83649549297643,0.0653914150952047,563.334490985144
"45",8.9,4.88005898453632,5.09829913133046,5.82317655526771,6.59253788003434,6.8431257816712,0.0653920476612808,546.578437258941
"46",9,4.88463056472078,5.10307755513564,5.8286423396403,6.5987336631273,6.8495594139421,0.0653926946095761,530.34505760661
"47",9.1,4.88906588442977,5.10771368312856,5.83394579021637,6.60474585587272,6.85580253441238,0.0653933561020483,514.612973164913
"48",9.2,4.89336914266419,5.11221190264281,5.83909191994802,6.61058013533921,6.8618610364783,0.0653940323006711,499.361885531034
"49",9.3,4.89754436831024,5.11657642329119,5.84408553880333,6.61624194879814,6.86774057500563,0.0653947233674348,484.572511988736
"50",9.4,4.9015954286517,5.12081128585852,5.84893126392322,6.62173652522206,6.87344657826505,0.0653954294643465,470.226525209291
"51",9.5,4.90552603737688,5.12492037066657,5.85363352917531,6.62706888610048,6.87898425915885,0.0653961507534309,456.30649708015
"52",9.6,4.90933976211483,5.1289074054472,5.85819659414611,6.63224385561969,6.8843586257877,0.06539688739673,442.795846343797
"53",9.7,4.9130400315327,5.13277597275699,5.86262455260955,6.63726607024986,6.88957449140203,0.065397639556304,429.678789758327
"54",9.8,4.9166301420238,5.1365295169643,5.86692134050713,6.64213998777928,6.89463648377951,0.0653984073942312,416.940296505636
"55",9.9,4.92011326401354,5.14017135083716,5.87109074347219,6.64686989583236,6.89954905406685,0.0653991910726092,404.566045605097
"56",10,4.92349244790845,5.14370466175825,5.87513640392824,6.65145991990564,6.90431648512106,0.0653999907535543,392.542386118148
"57",10.1,4.92677062971172,5.14713251759146,5.87906182778942,6.65591403095309,6.90894289938313,0.0654008065992027,380.856299904335
