"","Left-Thalamus","Right-Thalamus","lh_posteriorcingulate_volume","rh_posteriorcingulate_volume","lh_lateraloccipital_volume","rh_lateraloccipital_volume"
"value",8663.9,7515.3,3388,3786,12030,13337
"low_range",6972.52621354037,6634.67401964612,2418.55186145264,2474.96983635345,10047.3732195145,10224.628351274
"high_range",10042.2340418238,9376.76975885264,4163.49449372314,4277.21908571827,16062.4508585051,16655.1686737545
