"","Left-Accumbens-area","Right-Accumbens-area","Left-Thalamus","Right-Thalamus","lh_precentral_volume","rh_precentral_volume"
"value",544.8,656.5,8663.9,7515.3,14007,13942
"low_range",370.682725668451,432.86077882758,6972.52621354037,6634.67401964612,11120.9533344393,10556.1477595482
"high_range",796.748384442083,793.169206143837,10042.2340418238,9376.76975885264,16907.5078803862,16674.8326895669
