"","Left-Thalamus","Right-Thalamus","lh_posteriorcingulate_volume","rh_posteriorcingulate_volume","lh_superiorfrontal_volume","rh_superiorfrontal_volume"
"value",8663.9,7515.3,3388,3786,21327,22484
"low_range",6972.52621354037,6634.67401964612,2418.55186145264,2474.96983635345,18189.4800124282,17179.3345749623
"high_range",10042.2340418238,9376.76975885264,4163.49449372314,4277.21908571827,27432.0382354685,26643.8649854973
